wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,7,0.3333333333333333,GABUG,5.26,31.19,35,0.501426,82.254,-6.3187,19.0,95,5.4891,0.9306,48.937,0.0,True,32.5,4840,2.434,1.65
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,8,0.3333333333333333,GABUG,5.26,31.19,35,0.487852,82.7344,-3.4405,19.8,99,5.3391,0.9105,51.605,0.0,True,31.5,4840,2.3683,1.61
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,9,0.3333333333333333,GABUG,32.21,189.31,41,2.260565,86.8411,-0.1648,44.1,1323,25.1979,4.2598,79.281,0.0,True,34.5,4840,9.0345,8.62
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,10,0.3333333333333333,GABUG,32.21,189.31,41,2.24272,86.945,0.626,44.4333,1333,25.3979,4.2824,79.385,0.0,True,34.0,4840,9.7282,8.4
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,1,0.3333333333333333,GABUG,32.21,189.31,41,2.327547,86.4512,-3.1327,62.4667,1874,25.4979,4.3839,77.492,0.0,True,35.0,40,0.2299,3.85
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,2,0.3333333333333333,GABUG,32.21,189.31,41,2.34395,86.3557,-3.8595,62.5,1875,25.6479,4.4127,74.237,0.0,True,36.0,40,0.2364,3.85
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,3,0.3333333333333333,GABUG,32.21,189.31,41,2.330058,86.4366,-3.244,62.6333,1879,25.3479,4.3697,77.813,0.0,True,35.0,40,0.2302,3.85
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,32.21,189.31,41,2.29641,86.6324,-1.753,63.0333,1891,25.2979,4.3993,80.57,0.0,True,34.5,40,0.2246,3.85
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,5,0.3333333333333333,GABUG,32.21,189.31,41,2.344877,86.3503,-3.9006,62.9333,1888,25.4479,4.3734,78.583,0.0,True,34.0,40,0.2203,3.85
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,6,0.3333333333333333,GABUG,32.21,189.31,41,2.309747,86.5548,-2.344,62.4333,1873,25.4479,4.3908,79.486,0.0,True,34.0,40,0.2214,3.85
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,7,0.3333333333333333,GABUG,16.49,95.45,39,1.251962,85.4693,-3.4507,61.0,915,13.7591,2.3582,66.689,0.0,True,36.5,40,0.1128,2.02
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,8,0.3333333333333333,GABUG,16.49,95.45,39,1.286856,85.0643,-6.334,61.3333,920,13.8091,2.4008,66.153,0.0,True,34.0,40,0.1036,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,9,0.3333333333333333,GABUG,16.49,95.45,39,1.260824,85.3665,-4.1829,62.2,933,13.6091,2.3333,69.827,0.0,True,36.5,40,0.108,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,10,0.3333333333333333,GABUG,16.49,95.45,39,1.270669,85.2522,-4.9964,61.0,915,13.6091,2.343,68.744,0.0,True,35.0,40,0.1102,2.0
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,1,0.3333333333333333,GABUG,16.49,95.45,39,1.242454,85.5797,-2.665,36.4667,547,13.6591,2.3119,67.626,0.0,True,33.5,4840,4.7188,4.52
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,2,0.3333333333333333,GABUG,16.49,95.45,39,1.231696,85.7046,-1.776,37.1333,557,13.6091,2.2915,68.839,0.0,True,33.0,4840,5.386,4.43
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,3,0.3333333333333333,GABUG,16.49,95.45,39,1.255956,85.423,-3.7807,35.9333,539,13.7591,2.3076,65.049,0.0,True,36.5,4840,5.397,4.34
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,4,0.3333333333333333,GABUG,16.49,95.45,39,1.252091,85.4678,-3.4613,36.0,540,13.8091,2.3571,65.15,0.0,True,33.5,4840,4.9386,4.4
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,5,0.3333333333333333,GABUG,16.49,95.45,39,1.238635,85.624,-2.3494,35.1333,527,13.7591,2.3207,66.666,0.0,True,35.0,4840,4.7635,4.44
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,6,0.3333333333333333,GABUG,16.49,95.45,39,1.218605,85.8565,-0.6943,35.0667,526,13.5591,2.2739,68.401,0.0,True,33.0,4840,5.379,4.34
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,7,0.3333333333333333,GABUG,16.49,95.45,39,1.23207,85.7002,-1.8069,37.0,555,13.7091,2.3221,66.975,0.0,True,33.5,4840,5.4692,4.33
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,8,0.3333333333333333,GABUG,16.49,95.45,39,1.220453,85.835,-0.847,36.7333,551,13.5591,2.2941,68.726,0.0,True,34.5,4840,5.0081,4.28
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,9,0.3333333333333333,GABUG,16.49,95.45,39,1.227542,85.7528,-1.4328,36.0,540,13.5591,2.2979,68.109,0.0,True,36.0,4840,4.3786,4.39
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,10,0.3333333333333333,GABUG,16.49,95.45,39,1.240894,85.5978,-2.5361,36.2667,544,13.8091,2.3401,65.173,0.0,True,33.5,4840,4.3545,4.42
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,1,0.3333333333333333,GABUG,16.49,95.45,39,1.267059,85.2941,-4.6981,62.3333,935,13.7591,2.3468,67.319,0.0,True,35.0,40,0.0959,2.0
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,2,0.3333333333333333,GABUG,16.49,95.45,39,1.26302,85.341,-4.3643,60.8,912,13.6591,2.3473,68.056,0.0,True,36.0,40,0.1002,2.0
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,7,0.3333333333333333,GABUG,32.21,189.31,41,2.313114,86.5352,-2.4932,61.9333,1858,25.2979,4.3561,80.391,0.0,True,33.5,40,0.2099,3.86
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,8,0.3333333333333333,GABUG,32.21,189.31,41,2.362322,86.2487,-4.6736,61.9333,1858,25.5979,4.4051,76.305,0.0,True,36.0,40,0.2116,3.86
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,9,0.3333333333333333,GABUG,32.21,189.31,41,2.31516,86.5233,-2.5838,62.6,1878,25.3479,4.3471,80.602,0.0,True,36.5,40,0.2118,3.86
google,3000,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,10,0.3333333333333333,GABUG,32.21,189.31,41,2.340942,86.3732,-3.7262,62.8333,1885,25.5979,4.3964,76.877,0.0,True,35.5,40,0.2124,3.86
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,1,0.3333333333333333,GABUG,32.21,189.31,41,2.267316,86.8018,-0.4639,43.7667,1313,25.2479,4.2679,80.507,0.0,True,33.5,4840,9.7433,8.4
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,2,0.3333333333333333,GABUG,32.21,189.31,41,2.267332,86.8017,-0.4646,44.5667,1337,25.3479,4.2957,78.662,0.0,True,36.0,4840,9.8282,8.63
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,3,0.3333333333333333,GABUG,32.21,189.31,41,2.265391,86.813,-0.3786,44.8333,1345,25.1979,4.2929,79.473,0.0,True,34.5,4840,8.196,8.39
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,4,0.3333333333333333,GABUG,32.21,189.31,41,2.279326,86.7319,-0.996,44.0333,1321,25.2479,4.2573,78.443,0.0,True,35.0,4840,7.6639,8.46
