wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,HHO,random,7,0.3333333333333333,E26,16.49,95.45,39,1.296507,86.5009,2.9715,0.0,0,12.8591,2.1187,76.275,0.0,True,25.0,8946,5.099,2.61
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,6,0.3333333333333333,E26,16.49,95.45,39,1.26809,86.7968,5.0982,0.0,0,12.6091,2.0717,84.374,0.0,True,25.5,4840,6.2029,3.83
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,7,0.3333333333333333,E26,16.49,95.45,39,1.2729,86.7467,4.7383,0.0,0,12.6591,2.0905,83.203,0.0,True,26.0,4840,6.1644,3.81
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,8,0.3333333333333333,E26,16.49,95.45,39,1.273215,86.7434,4.7147,0.0,0,12.6591,2.0815,82.209,0.0,True,26.0,4840,6.1962,3.64
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,9,0.3333333333333333,E26,16.49,95.45,39,1.272635,86.7494,4.7581,0.0,0,12.6591,2.0826,84.076,0.0,True,25.5,4840,6.2318,3.71
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,10,0.3333333333333333,E26,16.49,95.45,39,1.273713,86.7382,4.6774,0.0,0,12.6591,2.0787,84.879,0.0,True,25.5,4840,6.2412,3.73
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,1,0.3333333333333333,E26,16.49,95.45,39,1.2948,86.5187,3.0993,0.0,0,12.9591,2.1075,73.745,0.0,True,24.5,4840,3.558,2.44
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,2,0.3333333333333333,E26,16.49,95.45,39,1.293706,86.5301,3.1812,0.0,0,13.0091,2.1375,74.144,0.0,True,28.5,4840,3.5825,2.47
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,3,0.3333333333333333,E26,16.49,95.45,39,1.29953,86.4694,2.7453,0.0,0,12.9591,2.101,74.579,0.0,True,26.5,4840,3.5266,2.57
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,HHO,random,8,0.3333333333333333,E26,16.49,95.45,39,1.294994,86.5166,3.0848,0.0,0,12.8591,2.1214,77.955,0.0,True,26.0,8872,5.2732,2.76
