wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Consolidation,-,0,0.3333333333333333,E29,32.21,189.31,41,2.733147,89.554,0.0,0.0,0,30.2979,4.9252,66.586,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,32.21,189.31,41,2.241671,91.4324,17.9821,0.0,0,30.3979,4.8566,74.278,24.0994,False,26.0,0,0.0003,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,VCC(Google),-,0,0.3333333333333333,E29,32.21,189.31,41,2.614968,90.0057,4.3239,0.0,0,29.0979,4.7452,69.198,0.0,True,24.5,0,0.0098,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,32.21,189.31,41,2.619667,89.9877,4.152,0.0,0,29.9979,4.7966,75.225,8.1908,False,25.5,0,0.0428,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,random,1,0.3333333333333333,E29,32.21,189.31,41,2.244164,91.4229,17.8908,0.0,0,25.5979,4.2196,84.256,0.0,True,27.0,4840,6.321,4.78
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,random,2,0.3333333333333333,E29,32.21,189.31,41,2.252461,91.3912,17.5873,0.0,0,25.8979,4.2856,82.695,0.0,True,27.5,4840,6.4152,4.8
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,random,3,0.3333333333333333,E29,32.21,189.31,41,2.249812,91.4013,17.6842,0.0,0,25.7979,4.222,83.897,0.0,True,27.5,4840,6.1773,4.69
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,random,4,0.3333333333333333,E29,32.21,189.31,41,2.245095,91.4193,17.8568,0.0,0,25.7979,4.2605,85.266,0.0,True,27.5,4840,6.2428,4.8
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,7,0.3333333333333333,E29,32.21,189.31,41,2.1182,87.6698,6.1434,0.0,0,24.7479,4.0615,81.928,0.0,True,28.0,4840,5.8929,4.53
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,8,0.3333333333333333,E29,32.21,189.31,41,2.124506,87.6331,5.864,0.0,0,24.7479,4.0888,81.34,0.0,True,28.0,4840,5.7976,5.26
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,9,0.3333333333333333,E29,32.21,189.31,41,2.128688,87.6087,5.6787,0.0,0,24.8979,4.1108,78.223,0.0,True,28.5,4840,5.8554,4.8
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,10,0.3333333333333333,E29,32.21,189.31,41,2.125828,87.6254,5.8054,0.0,0,24.8479,4.0892,81.39,0.0,True,28.0,4840,5.8489,4.92
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,1,0.3333333333333333,E29,32.21,189.31,41,2.117318,87.6749,6.1825,0.0,0,24.7479,4.0976,80.127,0.0,True,28.0,4840,5.8574,4.57
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,2,0.3333333333333333,E29,32.21,189.31,41,2.097129,87.7924,7.077,0.0,0,24.7979,4.056,79.553,0.0,True,28.0,4840,5.7362,4.85
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,3,0.3333333333333333,E29,32.21,189.31,41,2.093143,87.8157,7.2537,0.0,0,24.7479,4.1017,80.745,0.0,True,28.0,4840,5.6682,4.78
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,4,0.3333333333333333,E29,32.21,189.31,41,2.017917,88.2535,10.5869,0.0,0,24.7979,4.064,77.498,0.0,True,26.5,4840,5.6882,4.98
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,8,0.3333333333333333,E29,32.21,189.31,41,2.306827,81.0863,-0.3384,0.0,0,26.5622,4.3645,81.4,0.0,True,27.5,4840,7.7303,4.83
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,9,0.3333333333333333,E29,32.21,189.31,41,2.319553,80.982,-0.8919,0.0,0,26.5615,4.3632,81.415,0.0,True,27.5,4840,7.6585,4.9
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,10,0.3333333333333333,E29,32.21,189.31,41,2.312234,81.042,-0.5736,0.0,0,26.6446,4.3975,84.01,0.0,True,27.0,4840,7.5742,5.24
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,1,0.3333333333333333,E29,32.21,189.31,41,2.322074,80.9613,-1.0016,0.0,0,26.6692,4.3807,81.467,0.0,True,28.0,4840,7.4992,4.65
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,2,0.3333333333333333,E29,32.21,189.31,41,2.301948,81.1263,-0.1262,0.0,0,26.7922,4.4061,83.939,0.0,True,26.5,4840,7.4839,4.92
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,3,0.3333333333333333,E29,32.21,189.31,41,2.329309,80.902,-1.3163,0.0,0,26.6087,4.3855,81.93,0.0,True,27.0,4840,7.488,4.6
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,4,0.3333333333333333,E29,32.21,189.31,41,2.288858,81.2336,0.4432,0.0,0,26.529,4.3522,85.596,0.0,True,27.0,4840,7.3324,5.27
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,5,0.3333333333333333,E29,32.21,189.31,41,2.297542,81.1624,0.0655,0.0,0,26.8113,4.4159,80.71,0.0,True,27.5,4840,7.3876,4.51
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,6,0.3333333333333333,E29,32.21,189.31,41,2.168879,88.8348,8.7142,0.0,0,25.1229,4.1499,83.842,0.0,True,27.5,4840,6.0469,4.73
