wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,5,0.3333333333333333,E29,16.49,95.45,39,0.977268,87.0556,23.4307,0.0,0,11.0154,1.8029,70.649,0.0,True,27.0,4840,6.1917,2.5
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,6,0.3333333333333333,E29,16.49,95.45,39,0.971065,87.1378,23.9168,0.0,0,12.4388,1.9867,66.003,0.0,True,27.0,4840,6.2479,2.43
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,7,0.3333333333333333,E29,16.49,95.45,39,0.976571,87.0648,23.4853,0.0,0,12.2738,1.9769,64.322,0.0,True,26.0,4840,6.2333,2.4
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,8,0.3333333333333333,E29,16.49,95.45,39,0.980791,87.009,23.1547,0.0,0,11.1604,1.8297,69.866,0.0,True,27.5,4840,6.2223,2.75
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,9,0.3333333333333333,E29,16.49,95.45,39,0.976834,87.0614,23.4647,0.0,0,12.0254,1.9711,70.478,0.0,True,26.5,4840,6.203,2.5
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,3,0.3333333333333333,E29,16.49,95.45,39,1.128102,69.0172,8.0849,0.0,0,13.0687,2.1647,73.803,0.0,True,28.0,4840,6.0091,2.56
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,4,0.3333333333333333,E29,16.49,95.45,39,1.105762,69.6308,9.9051,0.0,0,12.9214,2.1281,79.848,0.0,True,27.0,4840,6.1508,2.47
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,5,0.3333333333333333,E29,16.49,95.45,39,1.110029,69.5136,9.5574,0.0,0,13.0367,2.1473,73.068,0.0,True,27.5,4840,6.134,2.56
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,6,0.3333333333333333,E29,16.49,95.45,39,1.126027,69.0742,8.254,0.0,0,13.2266,2.1906,64.42,0.0,True,28.0,4840,6.0547,2.56
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,7,0.3333333333333333,E29,16.49,95.45,39,1.122899,69.1601,8.5089,0.0,0,13.0142,2.1638,76.406,0.0,True,27.5,4840,6.0205,2.61
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,8,0.3333333333333333,E29,16.49,95.45,39,1.128732,68.9999,8.0336,0.0,0,13.0769,2.1517,73.056,0.0,True,28.0,4840,6.0507,2.54
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,9,0.3333333333333333,E29,16.49,95.45,39,1.121149,69.2082,8.6514,0.0,0,13.0181,2.1577,75.169,0.0,True,27.5,4840,6.0885,2.68
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,random,10,0.3333333333333333,E29,16.49,95.45,39,1.120972,69.213,8.6658,0.0,0,13.305,2.1954,59.332,0.0,True,28.0,4840,6.0249,2.6
