N,M,power,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
3000,10,cubic,CA-WOA,GA,30,88.086,"[88.05, 88.12]",87.76,"[87.72, 87.80]",0.325,9.89e-20,3.34e-11,3.53,0.998,YES
3000,10,cubic,CA-WOA,GWO,30,88.086,"[88.05, 88.12]",87.699,"[87.66, 87.73]",0.387,3.88e-23,3.02e-11,4.19,1.0,YES
3000,10,cubic,CA-WOA,HHO,30,88.086,"[88.05, 88.12]",87.934,"[87.90, 87.97]",0.152,3.26e-08,4.11e-07,1.65,0.762,YES
3000,10,cubic,CA-WOA,PSO,30,88.086,"[88.05, 88.12]",87.714,"[87.68, 87.75]",0.372,1.01e-22,3.02e-11,4.09,1.0,YES
3000,10,cubic,CA-WOA,WOA,30,88.086,"[88.05, 88.12]",87.733,"[87.70, 87.76]",0.353,1.38e-22,3.02e-11,4.07,1.0,YES
3000,10,linear,CA-WOA,DE,30,87.582,"[87.55, 87.62]",86.693,"[86.66, 86.73]",0.889,2.12e-41,3.02e-11,9.34,1.0,YES
3000,10,linear,CA-WOA,GA,30,87.582,"[87.55, 87.62]",86.807,"[86.76, 86.85]",0.775,4.05e-35,3.02e-11,7.3,1.0,YES
3000,10,linear,CA-WOA,GWO,30,87.582,"[87.55, 87.62]",87.107,"[87.08, 87.14]",0.475,9.45e-28,3.02e-11,5.32,1.0,YES
3000,10,linear,CA-WOA,HHO,30,87.582,"[87.55, 87.62]",87.367,"[87.33, 87.40]",0.215,6.02e-12,5.46e-09,2.22,0.878,YES
3000,10,linear,CA-WOA,PSO,30,87.582,"[87.55, 87.62]",86.7,"[86.66, 86.74]",0.881,1.01e-39,3.02e-11,8.72,1.0,YES
3000,10,linear,CA-WOA,WOA,30,87.582,"[87.55, 87.62]",87.145,"[87.11, 87.18]",0.437,8.17e-26,3.02e-11,4.82,1.0,YES
3000,10,piecewise,CA-WOA,DE,30,87.922,"[87.88, 87.96]",87.043,"[87.01, 87.08]",0.879,2.85e-40,3.02e-11,9.02,1.0,YES
3000,10,piecewise,CA-WOA,GA,30,87.922,"[87.88, 87.96]",87.089,"[87.06, 87.12]",0.833,3.77e-39,3.02e-11,8.79,1.0,YES
3000,10,piecewise,CA-WOA,GWO,30,87.922,"[87.88, 87.96]",87.479,"[87.44, 87.52]",0.443,2.76e-23,3.69e-11,4.21,0.996,YES
3000,10,piecewise,CA-WOA,HHO,30,87.922,"[87.88, 87.96]",87.711,"[87.68, 87.74]",0.212,2.08e-12,3.82e-09,2.35,0.887,YES
